model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
pt,0,escalation,chaos,0,24.54562759399414,91,20,False,False,,
pt,0,escalation,chaos,1,25.752817153930664,90,20,False,False,,
pt,0,escalation,chaos,2,26.437904357910156,92,20,True,True,,
pt,0,escalation,chaos,3,31.204647064208984,124,20,True,False,,
pt,0,escalation,chaos,4,26.00889015197754,108,20,True,False,,
pt,0,escalation,chaos,5,23.602237701416016,85,20,True,True,,
pt,0,escalation,neutral,0,24.54562759399414,91,20,False,False,,
pt,0,escalation,neutral,1,25.968568801879883,87,20,True,False,,
pt,0,escalation,neutral,2,24.605792999267578,84,20,False,False,,
pt,0,escalation,neutral,3,25.820781707763672,89,20,True,False,,
pt,0,escalation,neutral,4,20.93685531616211,91,20,True,False,,
pt,0,escalation,neutral,5,26.272897720336914,97,20,True,False,,
pt,0,recovery,chaos,5,31.815095901489258,118,,False,,1,0.026140171138362717
pt,0,recovery,chaos,5,28.60371208190918,110,,True,,2,0.014380559984211172
pt,0,recovery,chaos,5,22.458837509155273,93,,True,,3,0.2775690232990929
pt,0,recovery,chaos,5,23.68622398376465,97,,True,,4,0.26322892891818434
pt,0,recovery,chaos,5,23.457122802734375,103,,True,,5,0.48919201309715155
