model,seed,phase,condition,turn,suppression_load,n_suppressed,n_features_crossed_50pct,mentions_negative,dismisses_negative,probe_level,mean_recovery
pt,0,escalation,chaos,0,62.50715637207031,283,20,False,False,,
pt,0,escalation,chaos,1,60.421424865722656,263,20,True,False,,
pt,0,escalation,chaos,2,56.600914001464844,259,17,False,False,,
pt,0,escalation,chaos,3,63.0709228515625,289,20,True,False,,
pt,0,escalation,chaos,4,65.71676635742188,297,20,True,True,,
pt,0,escalation,chaos,5,63.59532928466797,291,20,True,False,,
pt,0,escalation,neutral,0,62.50715637207031,283,20,False,False,,
pt,0,escalation,neutral,1,59.82004928588867,275,19,True,False,,
pt,0,escalation,neutral,2,49.080467224121094,220,16,True,False,,
pt,0,escalation,neutral,3,62.493141174316406,292,17,True,False,,
pt,0,escalation,neutral,4,59.97559356689453,282,17,True,False,,
pt,0,escalation,neutral,5,59.76311492919922,277,18,True,False,,
pt,0,recovery,chaos,5,63.69810104370117,288,,False,,1,0.04163209161076125
pt,0,recovery,chaos,5,61.768211364746094,282,,True,,2,0.05011541670829293
pt,0,recovery,chaos,5,58.87438201904297,263,,True,,3,0.11541747629382246
pt,0,recovery,chaos,5,66.8548583984375,302,,True,,4,0.07396170840530683
pt,0,recovery,chaos,5,55.048038482666016,241,,True,,5,0.1397417830186712
it,0,escalation,chaos,0,31.06770896911621,129,20,True,False,,
it,0,escalation,chaos,1,29.74102783203125,121,20,True,False,,
it,0,escalation,chaos,2,30.503528594970703,124,20,False,False,,
it,0,escalation,chaos,3,30.439064025878906,128,20,False,False,,
it,0,escalation,chaos,4,32.9192008972168,141,20,False,False,,
it,0,escalation,chaos,5,32.73975372314453,139,20,True,False,,
it,0,escalation,neutral,0,31.06770896911621,129,20,True,False,,
it,0,escalation,neutral,1,30.73200225830078,127,20,True,False,,
it,0,escalation,neutral,2,27.087310791015625,112,20,True,False,,
it,0,escalation,neutral,3,36.93732833862305,172,20,True,False,,
it,0,escalation,neutral,4,32.6522216796875,141,20,True,False,,
it,0,escalation,neutral,5,28.96213722229004,121,20,True,False,,
it,0,recovery,chaos,5,35.60780334472656,158,,True,,1,0.013299675302385586
it,0,recovery,chaos,5,29.695072174072266,121,,True,,2,0.028567357920236115
it,0,recovery,chaos,5,32.693267822265625,135,,True,,3,0.04001779012252733
it,0,recovery,chaos,5,34.94573974609375,157,,True,,4,0.017184842764758606
it,0,recovery,chaos,5,28.44169044494629,105,,True,,5,0.1752740970930799
